index,open_btc,high_btc,low_btc,close_btc,volume_btc,num_trades_btc,buy_volume_btc,open_eth,high_eth,low_eth,close_eth,volume_eth,num_trades_eth,buy_volume_eth,sum_volume,count,avg,min,max,open_keep,close_keep,high_keep,low_keep,vol_keep,volcon_keep,open,close,high,low,volume,volumeConverted,average,cnt
2020-08-02,11801.17000000,12123.46000000,10518.50000000,11071.35000000,97553.07760400,1459900,45974.78641500,387.01000000,415.85000000,325.00000000,372.42000000,2324909.09616000,960835,1147802.64923000,231403.65000000014,53,4366.106603773587,50.0,59122.89,0.001324,0.00125,0.001428,0.001212,90566.80,120.45274920,0.504793017189,0.495085285823,0.524396046243,0.494515179925,862225.1770459011,439354.889687128,0.5095593371471902,94.0
2020-08-03,11071.36000000,11473.00000000,10936.00000000,11219.81000000,56931.84147500,919185,27133.03513600,372.45000000,398.00000000,366.50000000,385.94000000,1191565.09389000,534803,594188.68302000,23019.460000000003,36,639.4294444444445,1.0,2325.71,0.001264,0.001196,0.00142,0.001177,91848.00,113.60987104,0.495681488923,0.486955092138,0.53473733415,0.474710400972,819008.4759398259,411414.359094221,0.5023322360884193,62.0
2020-08-04,11219.68000000,11414.98000000,11000.00000000,11191.97000000,58629.11370900,863692,27861.61566100,385.91000000,402.98000000,380.77000000,389.61000000,1180792.42379000,503335,580630.09812000,139739.22999999998,35,3992.549428571428,50.0,75000.0,0.001194,0.001383,0.001414,0.001176,80190.34,101.94530360,0.487813243382,0.515595295504,0.53515494209,0.485800085638,976288.0158321881,494961.031030631,0.5069825942795437,77.0
2020-08-05,11191.99000000,11780.93000000,11093.00000000,11744.91000000,74970.25685200,964637,36130.38455100,389.59000000,407.00000000,384.11000000,400.72000000,1124119.06720000,459722,569086.53448000,303350.29000000015,63,4815.083968253971,34.65,105428.11,0.001388,0.001232,0.00157,0.001101,110165.83,143.51320318,0.514842315987,0.518745266397,0.587851619471,0.486227151998,1028507.7155897461,549261.697484751,0.5340375080898683,169.0
2020-08-06,11744.91000000,11900.00000000,11562.50000000,11762.46000000,63529.08502000,919918,30044.20329700,400.72000000,403.66000000,390.51000000,394.77000000,821379.08397000,388529,403029.86304000,167687.03,68,2465.9857352941176,75.0,25296.38,0.001242,0.001693,0.001696,0.00115,108039.28,150.17036325,0.518745266397,0.623351599804,0.657516645314,0.513366416981,1282122.669972304,697386.264657794,0.5439309989525876,224.0
2020-08-07,11762.47000000,11909.94000000,11322.00000000,11594.23000000,65755.92602200,940045,29993.01871000,394.77000000,398.26000000,362.85000000,379.34000000,1041207.35946000,466548,499790.82669000,2675794.77,225,11892.4212,13.81,2083333.33,0.001685,0.00216,0.002324,0.001445,118949.18,209.70906406,0.623304560963,0.768537902046,0.781420352022,0.580978282901,1607777.4489248882,1056946.88641662,0.6573962628493107,929.0
2020-08-08,11594.36000000,11808.27000000,11512.00000000,11761.41000000,41858.16104000,779318,20448.35261800,379.34000000,397.05000000,375.79000000,397.03000000,623029.78053000,300577,325760.87681000,1000001083117.9003,449,2227173904.49421,1.0,1000000000000.0,0.002171,0.003025,0.003259,0.00191,145444.14,376.20096199,0.811478607262,1.10012085955,1.18883620166,0.776087720275,1868842.2727053799,1809240.23477064,0.9681075076237127,2619.0
2020-08-09,11761.02000000,11797.11000000,11521.97000000,11681.68000000,41493.06734200,853386,19031.22331400,397.05000000,400.00000000,383.36000000,390.14000000,594900.58133000,319111,294055.13111000,751938.6599999998,338,2224.6705917159757,3.34,138000.0,0.003022,0.002575,0.003022,0.002002,110096.51,271.27841170,1.09462318209,0.97341058538,1.10582077157,0.868948966513,1116552.6297260274,1100369.10191842,0.9855058083454801,1040.0
2020-08-10,11681.69000000,12067.35000000,11450.00000000,11892.92000000,84952.33788700,1340835,42058.72245500,390.14000000,399.18000000,385.13000000,395.44000000,826969.90633000,395123,409673.34569000,1266986.2100000004,257,4929.907431906617,1.0,937561.7,0.002572,0.002399,0.002882,0.002142,110666.14,268.91981336,0.97341058538,0.973406597006,1.07141295655,0.838464642239,1341914.7496607387,1292058.86971516,0.9628472077244972,897.0
2020-08-11,11892.90000000,11935.00000000,11125.00000000,11392.08000000,90748.28463400,1343979,41221.96100900,395.43000000,398.21000000,367.00000000,379.00000000,992412.60230000,459623,465088.67076000,1000001427450.3394,225,4444450788.668175,1.0,1000000000000.0,0.002408,0.002359,0.002845,0.00217,130670.29,324.98082300,0.973177721458,0.869727569636,1.06982984045,0.862257030216,970798.1320584663,966543.358450842,0.9956172416621748,680.0
